Freq (Hz)	Sonde/GEN_Mod	Sonde/GEN_Phase(rad)
386.000000000000060E+0	285.325938805381100E-3	26.442763847853104E+0
387.000000000000060E+0	284.656153914980840E-3	26.407707204685469E+0
388.000000000000060E+0	282.855913917346320E-3	26.376129165883569E+0
389.000000000000060E+0	276.936145385092700E-3	26.386108539646678E+0
390.000000000000060E+0	278.481570710360000E-3	26.399528744899111E+0
391.000000000000060E+0	274.081718036559780E-3	26.376902187355014E+0
392.000000000000060E+0	276.341151002709510E-3	26.345930877588771E+0
393.000000000000060E+0	280.220972125010400E-3	26.325162314526121E+0
394.000000000000060E+0	277.814646279653300E-3	26.313395029347433E+0
395.000000000000060E+0	274.927388551073020E-3	26.284790133736401E+0
396.000000000000060E+0	266.518224741900730E-3	26.261582287842547E+0
397.000000000000060E+0	264.964824697477290E-3	26.247950677830083E+0
398.000000000000060E+0	267.068882491435230E-3	26.232768257307832E+0
399.000000000000060E+0	269.360063518201190E-3	26.224582591863999E+0
400.000000000000060E+0	264.470684158310210E-3	26.209068621899817E+0
401.000000000000060E+0	264.350793585981350E-3	26.167171542050834E+0
402.000000000000060E+0	265.112509617657310E-3	26.121655247895191E+0
403.000000000000060E+0	264.893568928472770E-3	26.086188929705532E+0
404.000000000000060E+0	262.090921583237770E-3	26.067596913934945E+0
405.000000000000060E+0	256.073633789153040E-3	26.042767071994536E+0
406.000000000000060E+0	252.225311648543620E-3	26.011244379005799E+0
407.000000000000060E+0	254.034266998474920E-3	25.948049675011656E+0
408.000000000000060E+0	255.958527233889510E-3	25.916553884568518E+0
409.000000000000060E+0	256.655927456819750E-3	25.887204170523631E+0
410.000000000000060E+0	252.371681553036800E-3	25.829260093575321E+0
411.000000000000060E+0	247.276233416640650E-3	25.748340318193371E+0
412.000000000000060E+0	241.236530816748590E-3	25.670984246569784E+0
413.000000000000060E+0	237.035281512286120E-3	25.609001276706582E+0
414.000000000000060E+0	233.072286848805850E-3	25.563898726764034E+0
415.000000000000060E+0	224.582917553918400E-3	25.521248608056545E+0
416.000000000000060E+0	215.665411682071790E-3	25.441781699347835E+0
417.000000000000060E+0	214.788098282990340E-3	25.365751807132163E+0
418.000000000000060E+0	216.535756664976600E-3	25.297982361890504E+0
419.000000000000060E+0	213.091481005713790E-3	25.228327401182288E+0
420.000000000000060E+0	207.878980403981870E-3	25.142946153429968E+0
421.000000000000060E+0	204.611207323442040E-3	25.054765776452083E+0
422.000000000000060E+0	205.813476156862160E-3	24.949437245555423E+0
423.000000000000060E+0	211.033041478736580E-3	24.844894598595669E+0
424.000000000000060E+0	213.650401794226230E-3	24.768915912483912E+0
425.000000000000060E+0	214.390518682615600E-3	24.698283472207752E+0
426.000000000000060E+0	225.163872403877530E-3	24.583556795368377E+0
427.000000000000060E+0	240.864457458554950E-3	24.471731640922624E+0
428.000000000000060E+0	255.468750348298630E-3	24.368735399979286E+0
429.000000000000060E+0	275.298847833531530E-3	24.282538254885363E+0
430.000000000000060E+0	299.134252826281980E-3	24.200102243123990E+0
431.000000000000060E+0	322.191666374790570E-3	24.103713849397820E+0
432.000000000000060E+0	361.349264400149470E-3	23.988104057071993E+0
433.000000000000060E+0	406.408567028299470E-3	23.906421284025004E+0
434.000000000000060E+0	463.255642067828820E-3	23.846605446780007E+0
435.000000000000060E+0	525.805118731899610E-3	23.753759648963378E+0
436.000000000000060E+0	601.464922540167920E-3	23.660016556301485E+0
437.000000000000060E+0	704.363067497923430E-3	23.552166518808487E+0
